"","game_id","season","season_type","week","start_date","home_team","home_conference","home_score","away_team","away_conference","away_score","provider","spread","formatted_spread","spread_open","over_under","over_under_open","home_moneyline","away_moneyline"
"1",401520211,2023,"regular",2,"2023-09-10T00:00:00.000Z","Sam Houston State","Conference USA",NA,"Air Force","Mountain West",NA,"Bovada","14.5","Air Force -14.5","15.0","37.0","37.0",475,-700
"2",401531427,2023,"regular",2,"2023-09-09T23:00:00.000Z","Arkansas State","Sun Belt",NA,"Memphis","American Athletic",NA,"Bovada","21.5","Memphis -21.5","21.5","58.5","58.5",800,-1600
"3",401525831,2023,"regular",2,"2023-09-09T23:00:00.000Z","Rice","American Athletic",NA,"Houston","Big 12",NA,"Bovada","9.5","Houston -9.5","9.0","52.5","52.5",275,-350
"4",401525827,2023,"regular",2,"2023-09-09T23:00:00.000Z","Boise State","Mountain West",NA,"UCF","Big 12",NA,"Bovada","3.5","UCF -3.5","2.0","58.5","58.5",135,-160
"5",401525827,2023,"regular",2,"2023-09-09T23:00:00.000Z","Boise State","Mountain West",NA,"UCF","Big 12",NA,"DraftKings","-1.5","Boise State -1.5","-1.5",NA,NA,130,NA
"6",401524002,2023,"regular",2,"2023-09-09T23:00:00.000Z","Texas Tech","Big 12",NA,"Oregon","Pac-12",NA,"Bovada","7.0","Oregon -7.0","7.5","67.0","67.0",205,-245
"7",401524002,2023,"regular",2,"2023-09-09T23:00:00.000Z","Texas Tech","Big 12",NA,"Oregon","Pac-12",NA,"DraftKings","3.5","Oregon -3.5","3.5",NA,NA,NA,NA
"8",401520206,2023,"regular",2,"2023-09-09T23:00:00.000Z","Missouri","SEC",NA,"Middle Tennessee","Conference USA",NA,"Bovada","-21.0","Missouri -21.0","-20.5","51.0","51.0",-1600,800
"9",401520187,2023,"regular",2,"2023-09-09T23:00:00.000Z","Coastal Carolina","Sun Belt",NA,"Jacksonville State","Conference USA",NA,"Bovada","-13.0","Coastal Carolina -13.0","-13.0","57.0","56.5",-550,390
"10",401524003,2023,"regular",2,"2023-09-10T02:30:00.000Z","USC","Pac-12",NA,"Stanford","Pac-12",NA,"Bovada","-30.0","USC -30.0","-30.0","71.0","71.0",NA,NA
"11",401523998,2023,"regular",2,"2023-09-10T02:30:00.000Z","Arizona State","Pac-12",NA,"Oklahoma State","Big 12",NA,"Bovada","3.5","Oklahoma State -3.5","3.5","53.0","53.0",NA,NA
